raw_city,clean_city,metro_region,state,confidence,review_status,row_count
Bikaner,Bikaner,Bikaner,Rajasthan,High,Reviewed rule,1666
Unknown,Unknown,Unknown,Unknown,Low,Needs source enrichment,1617
Noida-1,Noida,Noida,Uttar Pradesh,High,Reviewed rule,1428
"Indirapuram,Delhi",Delhi,Delhi,Delhi,High,Reviewed rule,1279
"BTM,Bangalore",Bangalore,Bangalore,Karnataka,High,Reviewed rule,1161
"Rohini,Delhi",Delhi,Delhi,Delhi,High,Reviewed rule,1136
"Kothrud,Pune",Pune,Pune,Maharashtra,High,Reviewed rule,1089
"Indiranagar,Bangalore",Bangalore,Bangalore,Karnataka,High,Reviewed rule,1080
"Electronic City,Bangalore",Bangalore,Bangalore,Karnataka,High,Reviewed rule,1039
"Greater Kailash 2,Delhi",Delhi,Delhi,Delhi,High,Reviewed rule,1038
"Vashi,Mumbai",Mumbai,Mumbai,Maharashtra,High,Reviewed rule,1022
"Kukatpally,Hyderabad",Hyderabad,Hyderabad,Telangana,High,Reviewed rule,1009
"Viman Nagar,Pune",Pune,Pune,Maharashtra,High,Reviewed rule,1001
"sohna road,Gurgaon",Gurgaon,Gurgaon,Haryana,High,Reviewed rule,976
"Koramangala,Bangalore",Bangalore,Bangalore,Karnataka,High,Reviewed rule,954
"Laxmi Nagar,Delhi",Delhi,Delhi,Delhi,High,Reviewed rule,933
"Gomti Nagar,Lucknow",Lucknow,Lucknow,Uttar Pradesh,High,Reviewed rule,921
"Malviya Nagar,Delhi",Delhi,Delhi,Delhi,High,Reviewed rule,901
"HSR,Bangalore",Bangalore,Bangalore,Karnataka,High,Reviewed rule,898
"Madhapur,Hyderabad",Hyderabad,Hyderabad,Telangana,High,Reviewed rule,893
"Wakad,Pune",Pune,Pune,Maharashtra,High,Reviewed rule,869
"Raj Nagar,Noida",Noida,Noida,Uttar Pradesh,High,Reviewed rule,852
"Baner,Pune",Pune,Pune,Maharashtra,High,Reviewed rule,814
"Bandra West,Mumbai",Mumbai,Mumbai,Maharashtra,High,Reviewed rule,796
"Central Kolkata,Kolkata",Kolkata,Kolkata,West Bengal,High,Reviewed rule,790
"Aliganj,Lucknow",Lucknow,Lucknow,Uttar Pradesh,High,Reviewed rule,786
"Powai,Mumbai",Mumbai,Mumbai,Maharashtra,High,Reviewed rule,759
"Jadavpur,Kolkata",Kolkata,Kolkata,West Bengal,High,Reviewed rule,758
