normalized_name,observed_rows,raw_name_variants,distinct_restaurant_ids,confidence,review_status
unknown,1703,1,87,High,Priority review
domino s pizza,443,1,442,High,Priority review
pizza hut,323,3,322,Medium,Priority review
kfc,310,1,309,High,Priority review
kwality walls frozen dessert and ice cream shop,302,2,301,Medium,Priority review
baskin robbins,274,1,274,High,Priority review
subway,233,2,232,Medium,Priority review
faasos wraps and rolls,197,1,197,High,Priority review
the biryani life,196,2,196,Medium,Priority review
lunchbox meals and thalis,195,1,195,High,Priority review
firangi bake,194,2,194,Medium,Priority review
oven story pizza,194,2,194,Medium,Priority review
the good bowl,194,1,194,High,Priority review
mcdonald s,189,2,189,Medium,Priority review
the belgian waffle co,188,2,188,Medium,Priority review
behrouz biryani,185,1,185,High,Priority review
faasos signature wraps and rolls,178,1,178,High,Priority review
nic natural ice creams,175,1,174,High,Priority review
grameen kulfi,174,1,173,High,Priority review
sweet truth cake and desserts,171,1,171,High,Priority review
cafe coffee day,161,1,160,High,Priority review
burger king,149,1,149,High,Priority review
pure veg meals by lunchbox,144,1,144,High,Priority review
la pino z pizza,138,5,137,Medium,Priority review
wow momo,127,2,127,Medium,Priority review
barbeque nation,125,1,125,High,Priority review
the brooklyn creamery healthy ice cream,124,1,124,High,Priority review
ubq by barbeque nation,124,4,124,Medium,Priority review
ibaco,118,3,118,Medium,Priority review
gourmet ice cream cakes by baskin robbins,113,2,113,Medium,Priority review
mcdonald s gourmet burger collection,112,1,112,High,Priority review
natural ice cream,110,2,110,Medium,Priority review
keventers milkshakes and desserts,109,1,109,High,Priority review
five star chicken,104,6,104,Medium,Priority review
lassi shop,92,5,92,Medium,Priority review
box8 desi meals,90,1,90,High,Priority review
slay coffee,90,2,90,Medium,Priority review
nh1 bowls highway to north,88,1,88,High,Priority review
starbucks coffee,88,1,88,High,Priority review
mealful rolls meals in a roll,84,1,84,High,Priority review
itminaan biryani dum pukht,83,1,83,High,Priority review
zaza 22 spice biryani,82,1,82,High,Priority review
inox,81,2,81,Medium,Priority review
mccafe by mcdonald s,78,1,78,High,Priority review
frozen bottle milkshakes desserts and ice cream,76,1,76,High,Priority review
chaayos chai snacks relax,73,1,73,High,Priority review
mad over donuts,73,1,73,High,Priority review
pvr cafe,71,1,71,High,Priority review
baskin robbins happyness shakes,65,1,65,High,Priority review
cakezone,64,1,64,High,Priority review
giani s,64,3,64,Medium,Priority review
meat and eat,64,8,64,Medium,Priority review
rolls mania,64,2,64,Medium,Priority review
drunken monkey,63,4,63,Medium,Priority review
the dessert heaven pure veg,62,1,62,High,Priority review
